NANDO:1200342	NPM1
NANDO:1200342	PARN
NANDO:1200342	RTEL1
NANDO:1200342	TERC
NANDO:1200342	TINF2
NANDO:1200342	USB1
NANDO:1200342	WRAP53
NANDO:1200341	SP110
NANDO:1200208	PDGFB
NANDO:1200208	PDGFRB
NANDO:1200208	SLC20A2
NANDO:2201279	CYBB
NANDO:1200344	CD19
NANDO:1200344	CD81
NANDO:1200344	CR2
NANDO:1200344	ICOS
NANDO:1200344	MS4A1
NANDO:1200344	NFKB1
NANDO:1200344	NFKB2
NANDO:1200344	PRKCD
NANDO:1200344	TNFRSF13B
NANDO:1200344	TNFRSF13C
NANDO:1200344	TNFSF12
NANDO:2200444	SH3BP2
NANDO:2201276	IFNG
NANDO:2201276	NBN
NANDO:2201276	PRF1
NANDO:2201276	SBDS
NANDO:2201276	TERC
NANDO:2201276	TERT
NANDO:2201274	HBB
NANDO:2201273	HBA1
NANDO:2201273	HBA2
NANDO:2201273	HBB
NANDO:1200083	SUMF1
NANDO:2201270	UROD
NANDO:2201052	RET
NANDO:2201297	POLR3A
NANDO:2201297	POLR3B
NANDO:1200207	JAM2
NANDO:1200207	MYORG
NANDO:1200207	PDGFB
NANDO:1200207	PDGFRB
NANDO:1200207	SLC20A2
NANDO:1200207	XPR1
NANDO:2200110	NPHS1
NANDO:2201151	GYS2
NANDO:2200970	TGFB1
NANDO:2200117	LAMB2
NANDO:2200116	WT1
NANDO:2200119	LAMA3
NANDO:2200119	LAMB3
NANDO:2200119	LAMC2
NANDO:1200512	TOR1A
NANDO:2201170	IDUA
NANDO:1200819	UROD
NANDO:1200951	EIF2B1
NANDO:1200951	EIF2B2
NANDO:1200951	EIF2B3
NANDO:1200951	EIF2B4
NANDO:1200951	EIF2B5
NANDO:2200285	ELN
NANDO:1200705	GJA1
NANDO:2200286	BAZ1B
NANDO:2200286	CLIP2
NANDO:2200286	ELN
NANDO:2200286	GTF2I
NANDO:2200286	GTF2IRD1
NANDO:2200286	LIMK1
NANDO:2200286	MLXIPL
NANDO:2200286	RFC2
NANDO:2200286	TBL2
NANDO:1200709	CITED2
NANDO:1200709	FLT4
NANDO:1200709	GATA4
NANDO:1200709	GATA5
NANDO:1200709	GATA6
NANDO:1200709	GDF1
NANDO:1200709	GJA5
NANDO:1200709	JAG1
NANDO:1200709	NKX2-5
NANDO:1200709	NKX2-6
NANDO:1200709	TBX1
NANDO:1200709	ZFPM2
NANDO:1200669	FGFR2
NANDO:1200117	NEU1
NANDO:1200115	HYAL1
NANDO:1200112	GUSB
NANDO:1200630	EBP
NANDO:1200110	ARSB
NANDO:1200111	GUSB
NANDO:1200955	EPM2A
NANDO:1200955	NHLRC1
NANDO:1200118	NEU1
NANDO:1200119	CTSA
NANDO:2200577	PEX7
NANDO:2200577	PHYH
NANDO:2200770	IFNAR2
NANDO:2200770	STAT2
NANDO:2200573	CLN6
NANDO:2200573	CLN8
NANDO:2200573	CTSD
NANDO:2200573	MFSD8
NANDO:2200573	TPP1
NANDO:2200571	CTNS
NANDO:2200570	LIPA
NANDO:1200536	PANK2
NANDO:2200275	GATA6
NANDO:2200275	NKX2-5
NANDO:2200275	NKX2-6
NANDO:2200275	TBX1
NANDO:2200611	SERPINA1
NANDO:2200579	ATP7B
NANDO:2200495	MCCC1
NANDO:2200495	MCCC2
NANDO:2200696	ADA
NANDO:2200697	ADA
NANDO:2200697	CHD7
NANDO:2200697	DCLRE1C
NANDO:2200697	IL2RG
NANDO:2200697	IL7R
NANDO:2200697	LIG4
NANDO:2200697	RAG1
NANDO:2200697	RAG2
NANDO:2200697	RMRP
NANDO:2200694	IL2RG
NANDO:2200695	AK2
NANDO:1200122	CTSA
NANDO:2200757	CYBA
NANDO:2200757	CYBB
NANDO:2200757	CYBC1
NANDO:2200757	NCF1
NANDO:2200757	NCF2
NANDO:2200757	NCF4
NANDO:2200756	DNAJC21
NANDO:2200756	EFL1
NANDO:2200756	SBDS
NANDO:2200756	SRP54
NANDO:1200136	NAGA
NANDO:2200026	BCL2
NANDO:2200026	BCL6
NANDO:2200026	HLA-DRB1
NANDO:2200026	IGH
NANDO:2200753	WAS
NANDO:2200752	LAMTOR2
NANDO:2200698	PNP
NANDO:2200022	ABL1
NANDO:2200022	AFF1
NANDO:2200022	AUTS2
NANDO:2200022	BCR
NANDO:2200022	CDKN2A
NANDO:2200022	ETV6
NANDO:2200022	FLT3
NANDO:2200022	FOXP1
NANDO:2200022	GATA3
NANDO:2200022	HLA-C
NANDO:2200022	HLF
NANDO:2200022	IGH
NANDO:2200022	IKZF1
NANDO:2200022	KMT2A
NANDO:2200022	PAX5
NANDO:2200022	PBX1
NANDO:2200022	PDGFRA
NANDO:2200022	PIP4K2A
NANDO:2200022	RUNX1
NANDO:2200022	TCF3
NANDO:2200022	TP53
NANDO:2200454	NLRP12
NANDO:2200454	NLRP3
NANDO:2200498	HMGCS2
NANDO:2200456	RBCK1
NANDO:2201069	HNF4A
NANDO:2200599	ALDH5A1
NANDO:2200598	ABAT
NANDO:2200452	IL36RN
NANDO:2200453	LPIN2
NANDO:1200417	ABCA3
NANDO:1200417	ATP11A
NANDO:1200417	DPP9
NANDO:1200417	DSP
NANDO:1200417	FAM13A
NANDO:1200417	MUC5B
NANDO:1200417	PARN
NANDO:1200417	RTEL1
NANDO:1200417	SFTPA1
NANDO:1200417	SFTPA2
NANDO:1200417	SFTPC
NANDO:1200417	STN1
NANDO:1200417	TERC
NANDO:1200417	TERT
NANDO:1200415	BTNL2
NANDO:1200415	HLA-DRB1
NANDO:2200596	DDC
NANDO:2200590	UMPS
NANDO:1200410	AAAS
NANDO:1200410	GMPPA
NANDO:1200410	TRAPPC11
NANDO:1200794	MMUT
NANDO:1200795	MMAA
NANDO:1200796	MMAB
NANDO:1200797	MMADHC
NANDO:1200790	HPD
NANDO:1200791	BCKDHA
NANDO:1200791	BCKDHB
NANDO:1200791	DBT
NANDO:1200791	DLD
NANDO:1200792	PCCA
NANDO:1200792	PCCB
NANDO:2201003	NF1
NANDO:1200559	PLXND1
NANDO:1200559	REV3L
NANDO:1200798	IVD
NANDO:1200799	SLC2A1
NANDO:2200228	SCN5A
NANDO:2200088	RELA
NANDO:2200059	COL1A1
NANDO:2200059	PDGFB
NANDO:1200557	GFAP
NANDO:2200050	EXT1
NANDO:2200053	ERG
NANDO:2200053	ETV1
NANDO:2200053	ETV4
NANDO:2200053	EWSR1
NANDO:2200053	FLI1
NANDO:2200055	FLI1
NANDO:1200214	TTR
NANDO:1200934	RP1L1
NANDO:1200936	CNGB3
NANDO:1200936	GNAT2
NANDO:1200936	GUCA1A
NANDO:1200936	PDE6C
NANDO:1200937	ABCA4
NANDO:1200937	ADAM9
NANDO:1200937	AIPL1
NANDO:1200937	ATF6
